"","source","target","mor"
"286","FOS","AGTR2",1
"287","FOS","OXTR",1
"288","GABPA","OXTR",1
"289","JUN","OXTR",1
"290","E2F3","PIK3R1",1
"291","GATA4","AR",1
"292","TP53","NGF",1
"293","REL","IL2RA",1
"294","HSF2","HSP90B2P",1
"295","SP1","LDLR",1
"296","YY1","LDLR",-1
"297","CREB1","ANG",1
"298","CEBPA","PCK1",1
"299","WT1","CDKN1A",1
"300","VDR","RARB",1
"301","HOXC8","SMAD1",1
"302","NR0B1","LHB",-1
"303","HR","IGFBP1",1
"304","ATF1","CAT",1
"305","RELB","SRC",1
"306","CUX1","PI3",1
"307","FOS","ERCC1",1
"308","YY1","CXCR4",-1
"309","MYC","CXCR4",1
"310","USF1","CXCR4",1
"311","CUX1","NOS2",1
"312","NR5A1","NR5A1",1
"313","NR5A1","SF1",1
"314","TP53","ITSN1",1
"315","CEBPE","ELANE",1
"316","DDIT3","EPO",1
"317","NR5A1","LHB",1
"318","ATF2","TNF",1
"319","JUN","TNF",1
"320","GATA4","ADORA1",1
"321","NKX2-5","ADORA1",1
"322","AR","ACOT11",1
"323","GATA4","ACOT11",1
"324","NKX2-5","ACOT11",1
"325","NKX2-5","AR",1
"326","CEBPB","KRAS",1
"327","YY1","HMGCS2",-1
"328","LEF1","CCND1",1
"329","PAX6","SST",1
"330","CEBPB","STAR",1
"331","NR5A1","STAR",1
"332","POU1F1","FOS",1
"333","POU1F1","SSTR5",1
"334","EGR1","CISH",1
"335","NR5A1","RHD",1
"336","SRF","FOS",1
"337","FOS","TF",1
"338","ID1","FOS",-1
"339","ZNF143","STUB1",1
"340","MYC","CDKN1A",1
"341","JUN","IL2",1
"342","SOX9","MIA",1
"343","IRF2","CDKN1A",1
"344","IRF1","IFNA1",1
"345","IRF2","IFNA1",1
"346","IRF1","IRF2",1
"347","IRF2","IRF1",1
"348","LITAF","MDM2",1
"349","LITAF","MRPL41",1
"350","LITAF","PIK3R1",1
"351","TP53","LITAF",1
"352","LITAF","TP53",1
"353","TP53","BTG2",1
"354","TP53","GREM1",1
"355","TP53","MRPL41",1
"356","JUN","TNFRSF11A",1
"357","TP53","PIK3R1",1
"358","SP3","CDKN1A",1
"359","TP53","PCNA",1
"360","STAT1","IFNB1",-1
"361","YBX1","ERCC2",1
"362","YBX1","ERCC3",1
"363","YBX1","XRCC1",1
"364","HSF1","CXCL8",1
"365","AR","AR",1
"366","JUN","ATF2",1
"367","ATF2","JUN",1
"368","ATF2","TNFRSF11A",1
"369","HSF1","ICAM1",1
"370","HSF1","IL6",1
"371","HSF1","TNF",1
"372","HSF1","IL1B",1
"373","MIXL1","MIXL1",1
"374","PPARA","UCP3",1
"375","REL","JAG1",1
"376","RELA","JAG1",1
"377","HES1","FCER1G",1
"378","EGR1","F3",1
"379","SRF","EGR1",1
"380","EGR1","SRF",1
"381","SP1","SP1",1
"382","FOXE1","TPO",1
"383","POU4F1","BCL2",1
"384","ZNF260","ADRA1D",1
"385","NOTO","BTK",1
"386","USF1","JCHAIN",1
"387","HNF4A","SERPINA1",1
"388","HNF1A","SERPINA1",1
"389","HNF1B","SERPINA1",1
"390","SOX9","EPYC",1
"391","SRF","SRF",1
"392","PAX3","FGF2",1
"393","ID2","HBG1",1
"394","JUN","CSF2",1
"395","NFATC2","CSF2",1
"396","VDR","CSF2",-1
"397","MEF2A","JUN",1
"398","GATA6","NPPA",1
"399","SP140","IFNG",1
"400","RUNX2","MMP13",1
"401","YBX1","MMP13",-1
"402","FLI1","EPO",1
"403","FLI1","RB1",1
"404","FLI1","CFC1",1
"405","CEBPE","CEBPE",1
"406","PDX1","CHKA",1
"407","PDX1","INS",1
"408","HNF1A","HNF4A",1
"409","HNF4A","HNF1A",1
"410","NR2F2","HNF1A",1
"411","HNF1A","INS",1
"412","NR1H4","CYP7A1",-1
"413","ASCL1","NGF",1
"414","HES1","NGF",1
"415","RFX1","PCNA",-1
"416","CRX","SAG",1
"417","NRL","SAG",1
"418","E2F1","DHFR",1
"419","TBP","DHFR",1
"420","PAX5","IL2",1
"421","NR5A1","GRIN2C",1
"422","JDP2","POLI",1
"423","UBTF","POLI",1
"424","JUN","THBS1",1
"425","WT1","THBS1",1
"426","SP1","IGFBP4",1
"427","NCOA4","AR",1
"428","ESR2","PRL",1
"429","NR5A1","CTLA4",1
"430","MYBL2","BCL2",1
"431","ELF2","TEK",1
"432","ELF1","CD4",1
"433","AR","NCOA4",1
"434","NR2C2","CYP24A1",-1
"435","TP53","NDN",1
"436","JUND","JUND",1
"437","ZNF571","TRIM28",1
"438","MAX","TP53",1
"439","MYC","TP53",1
"440","TP53","MYC",-1
"441","TP53","NFKB1",1
"442","NFKB1","TP53",1
"443","TP53","RELA",1
"444","RELA","TP53",1
"445","CRX","GRB10",1
"446","JUN","GSC",1
"447","JUN","GHRHR",1
"448","TP63","IL12B",1
"449","NFKBIB","NOS2",1
"450","NR2F2","ALDH2",1
"451","AHR","ALDH3A1",1
"452","OTX2","GRB10",1
"453","HOXC6","NCAM1",1
"454","HR","NCAM1",1
"455","IRF8","IRF8",1
"456","FOXO1","IGFBP1",1
"457","STAT1","CSN2",1
"458","STAT5A","CSN2",1
"459","STAT5B","CSN2",1
"460","GATA4","FGF3",1
"461","IRF1","CCL4",1
"462","IRF8","SAMHD1",1
"463","TP53","PGAM2",1
"464","SPI1","UTRN",1
"465","AHR","CYP1A1",1
"466","PITX2","SIGLEC1",1
"467","SP1","PLAU",1
"468","NR5A2","CYP7A1",-1
"469","NR4A3","IL2",1
"470","STAT1","SOCS3",1
"471","STAT3","SOCS3",1
"472","POU2F1","IL5",1
"473","YY1","IL5",1
"474","SP1","CCND3",1
"475","RARA","PLAU",1
"476","NFYA","NFYA",1
"477","LEF1","MMP7",1
"478","SPI1","BTK",1
"479","SP1","BTK",1
"480","SP3","BTK",1
"481","EGR1","MMP12",-1
"482","SP1","SP3",1
"483","SP3","SP1",1
"484","XBP1","EGFR",1
"485","STAT6","IL4",1
"486","STAT6","SELP",1
"487","SREBF1","APOA2",1
"488","SP1","SLC2A1",1
"489","CEBPB","FSHB",1
"490","GATA4","STAR",1
"491","TCF3","EMC7",1
"492","CEBPG","HP",1
"493","LRRFIP1","PDGFA",-1
"494","EGR1","PDGFA",1
"495","SP1","PDGFA",1
"496","JUN","JUN",1
"497","TP53","IL6",-1
"498","NEUROD1","NEUROD1",1
"499","TCF12","NEUROD1",1
"500","STAT5A","INS",1
"501","HOXB1","CD1A",1
"502","NR4A3","IL4",1
"503","JUN","ABCB1",1
"504","RELA","CD40LG",1
"505","IKZF3","BCL2",1
"506","SP1","ABCC8",1
"507","STAT5A","GH1",1
"508","STAT5A","PRL",1
